interval,total_supply_u,total_demand_u,planned_clear_u,total_load_kwh,total_pv_kwh,battery_charge_u_pre,battery_discharge_u_pre,battery_charge_u_total,battery_discharge_u_total,curtail_u
0,0,66,0,1.2815080125919538,0.1035983439016811,0,45,0,45,0
1,0,74,0,1.4773049509549745,0.18237132468994252,4,51,4,51,0
2,0,56,0,1.345241061027759,0.08658498050961771,2,64,2,64,0
3,0,43,0,1.1825212716374967,0.07161836479037581,1,64,1,64,0
4,0,66,0,1.4565424490021393,0.17275736978050973,0,55,0,55,0
5,0,76,0,1.5486128313036274,0.2288817173380596,4,52,4,52,0
6,0,58,0,1.2578932230354776,0.0987256726232235,0,50,0,50,0
7,0,80,0,1.4695942773337791,0.08228963992476948,0,52,0,52,0
8,0,57,0,1.4182290983804342,0.21066932354288428,2,61,2,61,0
9,0,63,0,1.487812029549039,0.10602309114593833,2,71,2,71,0
10,0,73,0,1.5591662732940887,0.17453410046309006,3,63,3,63,0
11,0,69,0,1.4880932058433276,0.04512005809290127,0,67,0,67,0
12,0,82,0,1.581407183300592,0.23360669598895134,3,48,3,48,0
13,0,80,0,1.6458421297859074,0.12109490029007544,0,65,0,65,0
14,0,71,0,1.4959012076274731,0.18224668610924616,0,52,0,52,0
15,0,90,0,1.7744721603377107,0.10570726600047571,0,69,0,69,0
16,0,80,0,1.6691505724259073,0.049862318484526484,0,73,0,73,0
17,0,101,0,1.9853491111374684,0.0580221846734149,0,84,0,84,0
18,0,93,0,2.0952360126695617,0.08896891414507152,0,97,0,97,0
19,0,117,0,2.558087478308972,0.2538239264865309,0,105,0,105,0
20,0,145,0,3.175491938748242,0.14625439357119469,0,149,0,149,0
21,0,186,0,3.6837169024378027,0.09714765639647335,0,166,0,166,0
22,0,233,0,4.814032660164666,0.18347935190136133,0,222,0,222,0
23,0,294,0,6.063452105104358,0.17726845474625805,0,289,0,289,0
24,0,367,0,7.468480448376175,0.07166335725889933,0,366,0,366,0
25,0,427,0,8.606232204849833,1.3653339378408267,0,289,0,289,0
26,0,507,0,10.202719276613884,2.1524675129078132,0,289,0,289,0
27,0,513,0,10.592980837242791,3.4679972626817674,7,199,7,199,0
28,0,542,0,11.029439273318696,4.623598919331918,14,104,14,104,0
29,0,551,0,11.12660589007729,5.755008470224958,73,53,73,53,0
30,0,481,0,10.09956868552632,6.914359671936664,180,10,180,10,0
31,0,450,0,9.381348277709725,7.974795803479932,317,0,317,0,0
32,0,375,0,7.862964507432036,8.89851823804832,484,0,484,0,0
33,0,336,0,6.664366137321574,9.711415261280996,648,0,648,0,0
34,0,258,0,5.359361473188274,10.79508838606474,810,0,810,0,0
35,0,211,0,4.5344397279377855,11.89418991589004,955,0,955,0,0
36,0,183,0,4.064751925098969,12.576441061843612,1041,0,1041,0,0
37,0,166,0,3.3247659830135667,13.213326525065206,1162,0,1162,0,0
38,172,165,165,3.408267655319081,14.133317988336026,1072,0,1079,0,0
39,353,145,145,3.0146507825486815,14.703325835941703,965,0,1170,0,3
40,653,142,142,2.804822511355656,15.368775805952739,749,0,1248,0,12
41,890,127,127,2.7746690629069737,15.963180946725313,556,0,1294,0,25
42,1240,144,144,2.9208807403099857,16.55618034843907,267,0,1311,0,52
43,1414,140,140,3.0598857271452595,16.837381265758165,103,0,1321,0,56
44,1565,162,162,3.0890931653235523,17.10779997671956,0,0,1313,0,90
45,1573,152,152,3.184922110713773,17.405771006960094,0,0,1326,0,95
46,1611,126,126,2.8716519989823652,17.745058405262366,0,0,1364,0,121
47,1620,132,132,2.9348245154703263,17.82812739107604,0,0,1377,0,111
48,1622,145,145,3.094842818263935,17.881955750027593,0,0,1355,0,122
49,1630,149,149,2.9732827555387145,17.768898040554813,0,0,1350,0,131
50,1621,153,153,2.9592489571979748,17.652800071302508,0,0,1348,0,120
51,1591,138,138,3.129948590065639,17.67708648219415,0,0,1346,0,107
52,1576,130,130,2.7089685093025926,17.190641750417775,0,0,1354,0,92
53,1536,146,146,3.1165564430173585,16.994265178167993,0,0,1313,0,77
54,1470,143,143,2.9081705528900597,16.20703097340388,0,0,1297,0,30
55,1423,131,131,2.9544875122401715,15.88242905559528,0,0,1272,0,20
56,1376,133,133,2.824509936319103,15.258587888534679,0,0,1234,0,9
57,1304,130,130,3.019308394655389,14.72987510569837,0,0,1173,0,1
58,1260,140,140,2.955343592348043,14.15492889129356,0,0,1120,0,0
59,1196,132,132,2.9463600911137324,13.581088760598648,0,0,1064,0,0
60,1116,164,164,3.1652975372893253,12.683603695463564,0,0,952,0,0
61,987,160,160,3.4881749034592864,11.71982741548819,0,0,827,0,0
62,896,174,174,3.640400713417315,10.863213238846473,0,0,722,0,0
63,759,193,193,4.141054502456523,9.769647677144405,0,0,566,0,0
64,635,232,232,4.8877668483713705,8.919788645021079,0,0,403,0,0
65,506,257,257,5.329386816218845,7.798581460454536,0,0,249,0,0
66,356,309,309,6.2954896615338765,6.754912888673787,0,0,47,0,0
67,191,352,191,7.258156467628389,5.677951495436685,0,0,0,0,0
68,68,429,68,8.711933506263954,4.767159287864183,0,29,0,29,0
69,5,485,5,9.876510403483477,3.444147248673078,0,159,0,159,0
70,0,580,0,11.560326035325115,2.2464738460688602,0,344,0,344,0
71,0,644,0,12.864688482813483,1.0886479718200353,0,526,0,526,0
72,0,714,0,14.308664674968421,0.14131754490830167,0,695,0,695,0
73,0,762,0,15.45908017176641,0.15316118977748433,0,761,0,761,0
74,0,804,0,16.210767338858943,0.23805535655487606,0,786,0,786,0
75,0,845,0,16.977931052188573,0.20558080620667618,0,824,0,824,0
76,0,866,0,17.171141787568097,0.08160001958996635,0,835,0,835,0
77,0,852,0,16.783741414148373,0.1071075186366387,0,808,0,808,0
78,0,809,0,16.1031446415462,0.23295382662181788,0,770,0,770,0
79,0,763,0,15.29899321497841,0.036135936536144206,0,754,0,754,0
80,0,686,0,13.848495531510224,0.16813598638465962,0,672,0,672,0
81,0,614,0,12.468917192078656,0.13872573224298626,0,611,0,611,0
82,0,530,0,10.739321980541408,0.08450932272379783,0,528,0,528,0
83,0,457,0,9.429207284327925,0.12876668864797405,0,463,0,463,0
84,0,385,0,7.82612363887002,0.1653564800981073,0,371,0,371,0
85,0,325,0,6.475518885346025,0.17621524822845544,0,294,0,294,0
86,0,265,0,5.401380802608795,0.14907969948636235,0,226,0,226,0
87,0,218,0,4.177051784618258,0.20098144168581336,0,149,0,149,0
88,0,162,0,3.312988366896381,0.08675210047059187,0,121,0,121,0
89,0,136,0,2.852771516608632,0.11944290073856864,0,108,0,108,0
90,0,114,0,2.333897302926972,0.08933973239943789,0,72,0,72,0
91,0,92,0,2.0709521915935882,0.16304058385233788,0,66,0,66,0
92,0,81,0,1.8146821688501023,0.1316605717247081,0,53,0,53,0
93,0,71,0,1.654677937995317,0.1626736016446192,0,49,0,49,0
94,0,53,0,1.5091837596425495,0.12938084680418374,0,64,0,64,0
95,0,56,0,1.3598643147464171,0.06482726256224941,0,55,0,55,0
